Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Carlos Cortes,Oakland Athletics,9.4,41.1,21.1,23.9,22.5,8.7,90.0,0.176,18.8,65.2,0.381,28.2,2.8,30.3,0,0,7,R,30.3,142
Pete Crow-Armstrong,Chicago Cubs,11.3,48.9,32.8,17.7,38.6,19.4,91.2,0.219,28.2,68.3,0.353,46.8,7.0,24.2,0,0,7,R,21.5,186
Ian Happ,Chicago Cubs,15.1,47.4,35.5,20.4,24.9,17.0,90.8,0.243,32.6,64.3,0.341,44.1,10.5,14.5,0,0,7,S,22.4,152
Seiya Suzuki,Chicago Cubs,9.1,42.0,26.6,27.3,24.2,17.9,89.2,0.181,27.2,61.7,0.329,40.6,4.9,25.9,0,0,6,R,25.2,143
Moises Ballesteros,Chicago Cubs,9.6,47.0,22.6,25.2,35.5,12.0,90.4,0.154,28.1,69.7,0.318,36.5,7.0,27.0,0,0,6,L,27.8,115
Michael Busch,Chicago Cubs,11.0,43.1,34.8,20.4,24.7,15.2,88.7,0.176,26.2,62.2,0.349,37.0,6.1,25.4,0,0,6,L,26.5,181
Bryce Eldridge,San Francisco Giants,9.9,56.3,35.2,29.6,28.8,16.3,92.0,0.219,22.7,70.6,0.388,40.8,4.2,36.6,0,0,8,L,26.8,71
Rafael Devers,San Francisco Giants,9.9,50.0,31.9,18.7,30.6,13.2,91.8,0.186,30.9,69.4,0.292,31.9,11.5,18.7,0,0,6,L,23.1,182
Casey Schmitt,San Francisco Giants,12.7,42.9,33.8,23.2,36.3,20.9,89.4,0.222,22.0,70.7,0.348,40.4,5.1,24.7,0,0,7,R,23.7,198
Willy Adames,San Francisco Giants,9.5,43.4,34.4,22.8,32.4,22.3,89.2,0.181,28.0,65.2,0.297,47.6,11.6,23.3,0,0,6,R,23.8,189
Matt Chapman,San Francisco Giants,6.7,36.9,19.5,21.0,26.1,10.5,88.3,0.118,22.3,62.8,0.296,37.9,5.1,21.5,0,0,6,R,27.2,195

Kyle Schwarber,Philadelphia Phillies,21.9,50.3,37.4,23.8,25.2,22.0,93.2,0.294,33.9,66.0,0.379,56.5,6.8,20.4,0,0,7,L,19.0,147
Bryce Harper,Philadelphia Phillies,13.4,45.5,26.2,27.8,33.8,12.5,90.2,0.273,29.6,74.6,0.414,37.4,6.4,19.3,0,0,7,L,20.3,187
Brandon Marsh,Philadelphia Phillies,7.7,47.1,24.1,30.0,37.7,13.0,90.0,0.159,23.6,69.9,0.338,34.7,8.2,31.8,0,0,7,R,27.6,170
Adolis Garcia,Philadelphia Phillies,9.3,48.0,23.3,28.7,29.8,14.6,92.1,0.142,34.6,63.5,0.294,36.0,9.3,26.0,0,0,6,R,23.3,150
Alec Bohm,Philadelphia Phillies,4.0,42.3,20.9,24.9,24.0,10.5,90.2,0.113,17.4,64.5,0.296,27.9,9.0,22.4,0,0,6,R,23.4,201
Bryson Stott,Philadelphia Phillies,7.3,41.2,28.2,22.0,32.7,16.0,89.9,0.147,17.0,54.9,0.315,38.4,7.9,23.7,0,0,6,R,20.9,177
Jackson Chourio,Milwaukee Brewers,15.2,47.5,32.0,22.0,33.9,12.2,92.2,0.234,24.0,60.2,0.339,27.0,5.0,21.0,0,0,7,R,27.0,100
Jake Bauers,Milwaukee Brewers,13.8,54.4,27.2,21.8,19.2,8.7,92.4,0.224,25.1,64.7,0.368,41.5,8.8,20.4,0,0,6,L,25.9,147
Garrett Mitchell,Milwaukee Brewers,14.7,50.0,17.6,21.6,20.9,4.5,92.7,0.177,38.3,65.1,0.329,30.4,4.9,12.7,0,0,6,R,28.4,102
Brice Turang,Milwaukee Brewers,8.2,46.2,23.4,26.9,22.0,7.6,90.8,0.200,21.3,61.3,0.367,25.1,8.8,24.0,0,0,6,R,34.5,171
William Contreras,Milwaukee Brewers,7.0,41.8,24.9,23.0,29.6,12.2,89.8,0.161,19.3,67.7,0.335,38.5,7.5,25.8,0,0,6,R,23.9,213
